"pan_number","status"
"WUFAR0132H","Valid PAN"
"DNRGI2432Q","Valid PAN"
"UCYZV9250R","Valid PAN"
"IVIDN1081H","Valid PAN"
"AFMVC1413D","Valid PAN"
"PIHOQ0368S","Valid PAN"
"WOUCP7730E","Invalid PAN"
"XDXQX7884O","Invalid PAN"
"DTFPR5725T","Valid PAN"
"EZL2951","Invalid PAN"
"XFZMP337!C","Invalid PAN"
"HJLL06124M","Invalid PAN"
"ZUEHM2316T","Valid PAN"
"ZWOVO3987M","Valid PAN"
"HGZSD2846W","Valid PAN"
"HOMSX7166U","Invalid PAN"
"YQTHD075!M","Invalid PAN"
"XWPOE8261N","Valid PAN"
"HMAAT93396B","Invalid PAN"
"BBBDB0238M","Invalid PAN"
"TEHT52787X","Invalid PAN"
"VDHZO082!B","Invalid PAN"
"CUOSK6961B","Valid PAN"
"SFFTL6949Z","Invalid PAN"
"FTYNU60964H","Invalid PAN"
"UZA4795","Invalid PAN"
"CHEKD42843R","Invalid PAN"
"OMDZC038!H","Invalid PAN"
"JZTXD1407T","Valid PAN"
"NERAJ4422R","Invalid PAN"
"THI1932","Invalid PAN"
"NOW8215","Invalid PAN"
"CBEGA1076E","Valid PAN"
"BNUYG7695W","Valid PAN"
"NBFOA4320I","Valid PAN"
"DCH2139","Invalid PAN"
"RTBRQ3916Q","Valid PAN"
"IQNRP0201C","Valid PAN"
"TIONF1790L","Valid PAN"
"FKSIB1290I","Valid PAN"
"CLC5997","Invalid PAN"
"QDSEU1764B","Valid PAN"
"VLQV77207H","Invalid PAN"
"BMKHK106!P","Invalid PAN"
"AUETY8264O","Valid PAN"
"XXJUX7168T","Invalid PAN"
"OERMY7811O","Invalid PAN"
"INHEH9850U","Valid PAN"
"FPWLS84814N","Invalid PAN"
"HKQVU3127Z","Valid PAN"
"FXULM7110S","Invalid PAN"
"NFCDH0375I","Valid PAN"
"TLCGS8748W","Valid PAN"
"XTOZZ744!R","Invalid PAN"
"NOYMZ6515T","Valid PAN"
"IXKMK872!Q","Invalid PAN"
"WLKDK2349Y","Valid PAN"
"VBDWY7362C","Valid PAN"
"TXVC91015E","Invalid PAN"
"OGYNF90502D","Invalid PAN"
"OTVXR2123S","Valid PAN"
"PQOBU8775O","Invalid PAN"
"PHSSM6811H","Invalid PAN"
"VZHPO7946I","Valid PAN"
"FPW6592","Invalid PAN"
"XYR1437","Invalid PAN"
"QMMTF646!O","Invalid PAN"
"FBUQW5623C","Valid PAN"
"DJYCZ899!K","Invalid PAN"
"EYHNO6182G","Valid PAN"
"UTSKT2247S","Invalid PAN"
"CBVZD747!T","Invalid PAN"
"DOT6533","Invalid PAN"
"SXEEC4525O","Invalid PAN"
"IVZYA2420L","Valid PAN"
"NHOGI0036U","Invalid PAN"
"JIPEB94038H","Invalid PAN"
"OXPKM6027J","Valid PAN"
"JAOXK9984V","Invalid PAN"
"XBWPB5897H","Valid PAN"
"MFJNK7402Z","Valid PAN"
"OWOC21322L","Invalid PAN"
"GJEVT2900S","Invalid PAN"
"HBZ7579","Invalid PAN"
"NLSZB6299Y","Invalid PAN"
"TVE4049","Invalid PAN"
"NVVAP2364K","Invalid PAN"
"EBWXI4797Z","Valid PAN"
"RHFBT6756B","Valid PAN"
"NBL2760","Invalid PAN"
"XQT7486","Invalid PAN"
"XHYBV5542I","Invalid PAN"
"PBORO4989N","Valid PAN"
"OMKAL6679I","Invalid PAN"
"CAEPY5487C","Valid PAN"
"WPVIR15238U","Invalid PAN"
"BPJBK6738D","Valid PAN"
"OAY2889","Invalid PAN"
"DTHRH2238X","Invalid PAN"
"TTZUR62564Z","Invalid PAN"
"VQD3740","Invalid PAN"
"EQJGK9564Z","Valid PAN"
"WPONK1051R","Valid PAN"
"NQI2057","Invalid PAN"
"JWA9278","Invalid PAN"
"DRFIE6356W","Valid PAN"
"IAZXO7266T","Invalid PAN"
"RKFYY8169N","Invalid PAN"
"TLRX67588H","Invalid PAN"
"APHU25072D","Invalid PAN"
"FNMUU7379C","Invalid PAN"
"MKVDM46586J","Invalid PAN"
"WCOSU6718X","Valid PAN"
"XNQ0670","Invalid PAN"
"KCHCY4948X","Valid PAN"
"EVDYJ7275N","Valid PAN"
"YROAZ0950A","Valid PAN"
"TEIYD928!E","Invalid PAN"
"NYGGL9944D","Invalid PAN"
"OMAY01004Y","Invalid PAN"
"GNR5957","Invalid PAN"
"IHTSG3034F","Valid PAN"
"ATKT96827X","Invalid PAN"
"LLP2231","Invalid PAN"
"NSFM26785H","Invalid PAN"
"ZJQ2306","Invalid PAN"
"IVP7605","Invalid PAN"
"IIUCB6039N","Invalid PAN"
"DIZJJ1438S","Invalid PAN"
"GHBXX7822E","Invalid PAN"
"EOWXY3483V","Valid PAN"
"PAMEU0810V","Valid PAN"
"HQKEX29541F","Invalid PAN"
"MWH4723","Invalid PAN"
"EEIKM4257U","Invalid PAN"
"ETPLY1829Z","Valid PAN"
"ILFMC2511Y","Invalid PAN"
"FEXUO8396A","Valid PAN"
"DDL3051","Invalid PAN"
"XPT7646","Invalid PAN"
"KACNC6442N","Invalid PAN"
"SBCAK2818C","Valid PAN"
"PWT6817","Invalid PAN"
"RXMZU7510F","Valid PAN"
"KFQJX498!E","Invalid PAN"
"ORAR83094G","Invalid PAN"
"QWFKN0435L","Valid PAN"
"SSVFT05667T","Invalid PAN"
"IMCNJ37899Z","Invalid PAN"
"ERS2745","Invalid PAN"
"ZUZTF6831P","Valid PAN"
"MDBGA6536F","Valid PAN"
"MZHIK0439X","Valid PAN"
"EDKQH6055G","Invalid PAN"
"JAQ3500","Invalid PAN"
"LBJ8114","Invalid PAN"
"GAG1855","Invalid PAN"
"RPGWA203!M","Invalid PAN"
"DVJAN226!E","Invalid PAN"
"MDXP00018Z","Invalid PAN"
"HPEIP392!L","Invalid PAN"
"ZLJPT9937L","Invalid PAN"
"DMOGT7203R","Valid PAN"
"OOTUP239!U","Invalid PAN"
"AEOCZ3784Q","Valid PAN"
"FRQQL5153T","Invalid PAN"
"GSQU99698X","Invalid PAN"
"XVWEK4180F","Valid PAN"
"LSGRD8956N","Valid PAN"
"LBLGC2456C","Valid PAN"
"GPLC44081K","Invalid PAN"
"RMGNA573!A","Invalid PAN"
"SVG4015","Invalid PAN"
"RLMAS06339O","Invalid PAN"
"JUIOR0433J","Invalid PAN"
"HBZSZ40121G","Invalid PAN"
"HRA8489","Invalid PAN"
"VJXIO7932D","Valid PAN"
"VEFAN4953T","Valid PAN"
"XIRFD4011C","Invalid PAN"
"UNWJX4400C","Invalid PAN"
"TCGVJ64642B","Invalid PAN"
"YBHOJ388!E","Invalid PAN"
"APFEZ202!D","Invalid PAN"
"WVVRK3580B","Invalid PAN"
"ARNDI526!Q","Invalid PAN"
"RUSSR120!Z","Invalid PAN"
"ZTBIF0277B","Invalid PAN"
"XHPDE220!Z","Invalid PAN"
"KOXNP5323O","Valid PAN"
"ZEMQK9353R","Valid PAN"
"BEJEC78536R","Invalid PAN"
"TMW7505","Invalid PAN"
"MELKQ6768B","Valid PAN"
"CPLA88331D","Invalid PAN"
"POUM21084R","Invalid PAN"
"QVBHY0735O","Valid PAN"
"WUI2939","Invalid PAN"
"ZMQX06221C","Invalid PAN"
"CEEP57756U","Invalid PAN"
"XBUNE9071R","Valid PAN"
"BXGC31984B","Invalid PAN"
"VAHWK5673J","Valid PAN"
"AXTA24913N","Invalid PAN"
"DPU3320","Invalid PAN"
"RQCS93561W","Invalid PAN"
"PTFDC2361Y","Valid PAN"
"AMTWZ0173A","Valid PAN"
"WGEWD274!C","Invalid PAN"
"HMRLS0478I","Valid PAN"
"LIHTH4110A","Invalid PAN"
"RFJUR143!S","Invalid PAN"
"DPLPA08675P","Invalid PAN"
"HHHUQ3533M","Invalid PAN"
"WRSDA2848H","Valid PAN"
"KSS7576","Invalid PAN"
"GSXTW30008E","Invalid PAN"
"DPNA89154F","Invalid PAN"
"AQBKT5985C","Valid PAN"
"XAFDB5913S","Valid PAN"
"ZWUQV4184X","Valid PAN"
"NWZTF84947X","Invalid PAN"
"CESVR11150M","Invalid PAN"
"AUIEK2152A","Valid PAN"
"WCKZS5406P","Valid PAN"
"FEFUZ1031G","Valid PAN"
"QQY8741","Invalid PAN"
"XQZ6808","Invalid PAN"
"JNSDL2947A","Valid PAN"
"JPL0645","Invalid PAN"
"RWWLV7782Z","Invalid PAN"
"QAFJW3940S","Valid PAN"
"LCVUA9674W","Valid PAN"
"LFRHX1369U","Valid PAN"
"PNIYD6785P","Valid PAN"
"EBCUP381!I","Invalid PAN"
"MKOY28193H","Invalid PAN"
"YRNIH5181D","Valid PAN"
"MLHBZ4842G","Valid PAN"
"HIVTV3718G","Valid PAN"
"YKZG39916S","Invalid PAN"
"FGTMQ5469L","Valid PAN"
"NCXKA2261N","Invalid PAN"
"FPQ2636","Invalid PAN"
"PRSAI8634E","Valid PAN"
"KNXIW2928G","Valid PAN"
"WKMSW1052P","Valid PAN"
"LKRY50914K","Invalid PAN"
"TZWWW4116N","Invalid PAN"
"ZOXFA2412M","Valid PAN"
"SJHRK38892V","Invalid PAN"
"UNH8813","Invalid PAN"
"IUNS96058M","Invalid PAN"
"RJAG99350K","Invalid PAN"
"HOHOU8729J","Valid PAN"
"PDVQH1918R","Valid PAN"
"XEBHW7248G","Valid PAN"
"ZLGCZ186!D","Invalid PAN"
"WNPFK184!J","Invalid PAN"
"BAKS29587K","Invalid PAN"
"VRRFU2333H","Invalid PAN"
"QJYIT7828E","Valid PAN"
"IHBSJ0454M","Valid PAN"
"BHWIV1888W","Invalid PAN"
"QIGZA622!T","Invalid PAN"
"JMUSU509!Y","Invalid PAN"
"OFPC09977D","Invalid PAN"
"NDBG00854K","Invalid PAN"
"FSHWI0493A","Valid PAN"
"KVDYR5135B","Valid PAN"
"WCWSU4248K","Valid PAN"
"MCBFQ2107T","Valid PAN"
"PBIDF998!Y","Invalid PAN"
"ESPSZ61412I","Invalid PAN"
"CRRZD2058K","Invalid PAN"
"JOLN13066O","Invalid PAN"
"UVCIW3487X","Valid PAN"
"GXTPU2057K","Valid PAN"
"WXTKA031!M","Invalid PAN"
"ZLVCF410!Y","Invalid PAN"
"LFZ0686","Invalid PAN"
"EGN7323","Invalid PAN"
"YERRZ6460S","Invalid PAN"
"EARKE5082R","Valid PAN"
"QIMOH7603Y","Valid PAN"
"GDFPO7587Y","Valid PAN"
"FWGBT0360Q","Valid PAN"
"THA5612","Invalid PAN"
"ABBSN832!E","Invalid PAN"
"XDVKT5159Q","Valid PAN"
"JLWYN7446F","Invalid PAN"
"IUWSA8742U","Valid PAN"
"CCIP46364S","Invalid PAN"
"EGAXW2637Y","Valid PAN"
"PEEWC925!R","Invalid PAN"
"DPUHF420!U","Invalid PAN"
"EDUFE163!B","Invalid PAN"
"GCMNB5310F","Valid PAN"
"FRAYJ1462N","Valid PAN"
"JUAJA4060M","Valid PAN"
"KOJAA0317F","Invalid PAN"
"XFCHC41716C","Invalid PAN"
"DJLIT790!W","Invalid PAN"
"DFOQX9887W","Invalid PAN"
"YJU6240","Invalid PAN"
"VPHC24377H","Invalid PAN"
"NPOEH0171T","Valid PAN"
"ZUMLB0104J","Valid PAN"
"FIJGM6686I","Invalid PAN"
"HHKSG918!P","Invalid PAN"
"DZL6681","Invalid PAN"
"LESCL0946H","Valid PAN"
"XVRUI1629V","Valid PAN"
"DUMNY8621B","Valid PAN"
"PLNCT24158S","Invalid PAN"
"HOB5198","Invalid PAN"
"DQDVB93935A","Invalid PAN"
"FRFZN9861P","Valid PAN"
"SECU48585F","Invalid PAN"
"DDVVN7623P","Invalid PAN"
"XIQOW6972R","Valid PAN"
"KXKDJ7038L","Valid PAN"
"UNYL57008T","Invalid PAN"
"JLNIK8536C","Valid PAN"
"KIHTT1039Q","Invalid PAN"
"TFVIF3708J","Valid PAN"
"IMQWH87773I","Invalid PAN"
